"X","variable","year","value","units","source"
1,"CH4_concentration",1745,720.8548,"ppbv CH4","cmip7"
1,"CH4_concentration",1746,720.8548,"ppbv CH4","cmip7"
1,"CH4_concentration",1747,720.8548,"ppbv CH4","cmip7"
1,"CH4_concentration",1748,720.8548,"ppbv CH4","cmip7"
1,"CH4_concentration",1749,720.8548,"ppbv CH4","cmip7"
1,"CH4_concentration",1750,720.8548,"ppbv CH4","cmip7"
2,"CH4_concentration",1751,722.08014,"ppbv CH4","cmip7"
3,"CH4_concentration",1752,723.3311,"ppbv CH4","cmip7"
4,"CH4_concentration",1753,723.84,"ppbv CH4","cmip7"
5,"CH4_concentration",1754,724.0494,"ppbv CH4","cmip7"
6,"CH4_concentration",1755,724.24023,"ppbv CH4","cmip7"
7,"CH4_concentration",1756,724.3392,"ppbv CH4","cmip7"
8,"CH4_concentration",1757,724.5808,"ppbv CH4","cmip7"
9,"CH4_concentration",1758,725.4735,"ppbv CH4","cmip7"
10,"CH4_concentration",1759,726.3022,"ppbv CH4","cmip7"
11,"CH4_concentration",1760,727.24677,"ppbv CH4","cmip7"
12,"CH4_concentration",1761,728.0718,"ppbv CH4","cmip7"
13,"CH4_concentration",1762,728.85,"ppbv CH4","cmip7"
14,"CH4_concentration",1763,729.2629,"ppbv CH4","cmip7"
15,"CH4_concentration",1764,729.7133,"ppbv CH4","cmip7"
16,"CH4_concentration",1765,730.0648,"ppbv CH4","cmip7"
17,"CH4_concentration",1766,730.37,"ppbv CH4","cmip7"
18,"CH4_concentration",1767,730.6503,"ppbv CH4","cmip7"
19,"CH4_concentration",1768,731.20996,"ppbv CH4","cmip7"
20,"CH4_concentration",1769,731.8393,"ppbv CH4","cmip7"
21,"CH4_concentration",1770,732.4835,"ppbv CH4","cmip7"
22,"CH4_concentration",1771,733.15466,"ppbv CH4","cmip7"
23,"CH4_concentration",1772,733.85394,"ppbv CH4","cmip7"
24,"CH4_concentration",1773,734.67255,"ppbv CH4","cmip7"
25,"CH4_concentration",1774,735.03107,"ppbv CH4","cmip7"
26,"CH4_concentration",1775,735.3224,"ppbv CH4","cmip7"
27,"CH4_concentration",1776,735.69366,"ppbv CH4","cmip7"
28,"CH4_concentration",1777,736.0626,"ppbv CH4","cmip7"
29,"CH4_concentration",1778,736.388,"ppbv CH4","cmip7"
30,"CH4_concentration",1779,737.3029,"ppbv CH4","cmip7"
31,"CH4_concentration",1780,738.29706,"ppbv CH4","cmip7"
32,"CH4_concentration",1781,739.3366,"ppbv CH4","cmip7"
33,"CH4_concentration",1782,740.14734,"ppbv CH4","cmip7"
34,"CH4_concentration",1783,741.00415,"ppbv CH4","cmip7"
35,"CH4_concentration",1784,741.28613,"ppbv CH4","cmip7"
36,"CH4_concentration",1785,741.5487,"ppbv CH4","cmip7"
37,"CH4_concentration",1786,741.8229,"ppbv CH4","cmip7"
38,"CH4_concentration",1787,742.1184,"ppbv CH4","cmip7"
39,"CH4_concentration",1788,742.3667,"ppbv CH4","cmip7"
40,"CH4_concentration",1789,742.6997,"ppbv CH4","cmip7"
41,"CH4_concentration",1790,743.0447,"ppbv CH4","cmip7"
42,"CH4_concentration",1791,743.3706,"ppbv CH4","cmip7"
43,"CH4_concentration",1792,743.75854,"ppbv CH4","cmip7"
44,"CH4_concentration",1793,744.14746,"ppbv CH4","cmip7"
45,"CH4_concentration",1794,744.88696,"ppbv CH4","cmip7"
46,"CH4_concentration",1795,745.463,"ppbv CH4","cmip7"
47,"CH4_concentration",1796,746.1833,"ppbv CH4","cmip7"
48,"CH4_concentration",1797,746.8853,"ppbv CH4","cmip7"
49,"CH4_concentration",1798,747.50336,"ppbv CH4","cmip7"
50,"CH4_concentration",1799,747.95856,"ppbv CH4","cmip7"
51,"CH4_concentration",1800,748.6233,"ppbv CH4","cmip7"
52,"CH4_concentration",1801,749.34814,"ppbv CH4","cmip7"
53,"CH4_concentration",1802,750.0791,"ppbv CH4","cmip7"
54,"CH4_concentration",1803,750.6937,"ppbv CH4","cmip7"
55,"CH4_concentration",1804,751.64124,"ppbv CH4","cmip7"
56,"CH4_concentration",1805,752.59863,"ppbv CH4","cmip7"
57,"CH4_concentration",1806,753.5761,"ppbv CH4","cmip7"
58,"CH4_concentration",1807,754.5919,"ppbv CH4","cmip7"
59,"CH4_concentration",1808,755.64136,"ppbv CH4","cmip7"
60,"CH4_concentration",1809,756.81067,"ppbv CH4","cmip7"
61,"CH4_concentration",1810,757.95605,"ppbv CH4","cmip7"
62,"CH4_concentration",1811,758.9457,"ppbv CH4","cmip7"
63,"CH4_concentration",1812,759.9509,"ppbv CH4","cmip7"
64,"CH4_concentration",1813,761.17487,"ppbv CH4","cmip7"
65,"CH4_concentration",1814,762.6759,"ppbv CH4","cmip7"
66,"CH4_concentration",1815,764.1777,"ppbv CH4","cmip7"
67,"CH4_concentration",1816,765.74854,"ppbv CH4","cmip7"
68,"CH4_concentration",1817,767.326,"ppbv CH4","cmip7"
69,"CH4_concentration",1818,768.7917,"ppbv CH4","cmip7"
70,"CH4_concentration",1819,770.2823,"ppbv CH4","cmip7"
71,"CH4_concentration",1820,771.86884,"ppbv CH4","cmip7"
72,"CH4_concentration",1821,773.51373,"ppbv CH4","cmip7"
73,"CH4_concentration",1822,774.88586,"ppbv CH4","cmip7"
74,"CH4_concentration",1823,776.10034,"ppbv CH4","cmip7"
75,"CH4_concentration",1824,777.1873,"ppbv CH4","cmip7"
76,"CH4_concentration",1825,778.1969,"ppbv CH4","cmip7"
77,"CH4_concentration",1826,779.17554,"ppbv CH4","cmip7"
78,"CH4_concentration",1827,780.0322,"ppbv CH4","cmip7"
79,"CH4_concentration",1828,780.83936,"ppbv CH4","cmip7"
80,"CH4_concentration",1829,781.69824,"ppbv CH4","cmip7"
81,"CH4_concentration",1830,782.4866,"ppbv CH4","cmip7"
82,"CH4_concentration",1831,783.23065,"ppbv CH4","cmip7"
83,"CH4_concentration",1832,783.9886,"ppbv CH4","cmip7"
84,"CH4_concentration",1833,784.86096,"ppbv CH4","cmip7"
85,"CH4_concentration",1834,785.8822,"ppbv CH4","cmip7"
86,"CH4_concentration",1835,786.9591,"ppbv CH4","cmip7"
87,"CH4_concentration",1836,788.1029,"ppbv CH4","cmip7"
88,"CH4_concentration",1837,788.83514,"ppbv CH4","cmip7"
89,"CH4_concentration",1838,789.45416,"ppbv CH4","cmip7"
90,"CH4_concentration",1839,790.0118,"ppbv CH4","cmip7"
91,"CH4_concentration",1840,790.1644,"ppbv CH4","cmip7"
92,"CH4_concentration",1841,790.51373,"ppbv CH4","cmip7"
93,"CH4_concentration",1842,791.1774,"ppbv CH4","cmip7"
94,"CH4_concentration",1843,792.03973,"ppbv CH4","cmip7"
95,"CH4_concentration",1844,793.18896,"ppbv CH4","cmip7"
96,"CH4_concentration",1845,794.86945,"ppbv CH4","cmip7"
97,"CH4_concentration",1846,795.9599,"ppbv CH4","cmip7"
98,"CH4_concentration",1847,796.9034,"ppbv CH4","cmip7"
99,"CH4_concentration",1848,797.5085,"ppbv CH4","cmip7"
100,"CH4_concentration",1849,798.2651,"ppbv CH4","cmip7"
101,"CH4_concentration",1850,798.79926,"ppbv CH4","cmip7"
102,"CH4_concentration",1851,799.1343,"ppbv CH4","cmip7"
103,"CH4_concentration",1852,799.6845,"ppbv CH4","cmip7"
104,"CH4_concentration",1853,800.4311,"ppbv CH4","cmip7"
105,"CH4_concentration",1854,801.3929,"ppbv CH4","cmip7"
106,"CH4_concentration",1855,802.77905,"ppbv CH4","cmip7"
107,"CH4_concentration",1856,804.3958,"ppbv CH4","cmip7"
108,"CH4_concentration",1857,805.9413,"ppbv CH4","cmip7"
109,"CH4_concentration",1858,807.847,"ppbv CH4","cmip7"
110,"CH4_concentration",1859,809.9102,"ppbv CH4","cmip7"
111,"CH4_concentration",1860,812.11566,"ppbv CH4","cmip7"
112,"CH4_concentration",1861,814.6943,"ppbv CH4","cmip7"
113,"CH4_concentration",1862,817.00903,"ppbv CH4","cmip7"
114,"CH4_concentration",1863,819.82996,"ppbv CH4","cmip7"
115,"CH4_concentration",1864,822.8782,"ppbv CH4","cmip7"
116,"CH4_concentration",1865,825.91797,"ppbv CH4","cmip7"
117,"CH4_concentration",1866,829.27045,"ppbv CH4","cmip7"
118,"CH4_concentration",1867,832.4238,"ppbv CH4","cmip7"
119,"CH4_concentration",1868,834.8475,"ppbv CH4","cmip7"
120,"CH4_concentration",1869,836.6992,"ppbv CH4","cmip7"
121,"CH4_concentration",1870,838.5808,"ppbv CH4","cmip7"
122,"CH4_concentration",1871,840.6078,"ppbv CH4","cmip7"
123,"CH4_concentration",1872,842.38947,"ppbv CH4","cmip7"
124,"CH4_concentration",1873,844.18463,"ppbv CH4","cmip7"
125,"CH4_concentration",1874,845.91187,"ppbv CH4","cmip7"
126,"CH4_concentration",1875,847.45056,"ppbv CH4","cmip7"
127,"CH4_concentration",1876,848.9568,"ppbv CH4","cmip7"
128,"CH4_concentration",1877,850.3754,"ppbv CH4","cmip7"
129,"CH4_concentration",1878,851.6116,"ppbv CH4","cmip7"
130,"CH4_concentration",1879,852.83856,"ppbv CH4","cmip7"
131,"CH4_concentration",1880,854.5763,"ppbv CH4","cmip7"
132,"CH4_concentration",1881,856.4181,"ppbv CH4","cmip7"
133,"CH4_concentration",1882,858.177,"ppbv CH4","cmip7"
134,"CH4_concentration",1883,860.12585,"ppbv CH4","cmip7"
135,"CH4_concentration",1884,862.29846,"ppbv CH4","cmip7"
136,"CH4_concentration",1885,864.77814,"ppbv CH4","cmip7"
137,"CH4_concentration",1886,867.3069,"ppbv CH4","cmip7"
138,"CH4_concentration",1887,869.9095,"ppbv CH4","cmip7"
139,"CH4_concentration",1888,873.2229,"ppbv CH4","cmip7"
140,"CH4_concentration",1889,877.4022,"ppbv CH4","cmip7"
141,"CH4_concentration",1890,880.21906,"ppbv CH4","cmip7"
142,"CH4_concentration",1891,882.7593,"ppbv CH4","cmip7"
143,"CH4_concentration",1892,885.5133,"ppbv CH4","cmip7"
144,"CH4_concentration",1893,888.51154,"ppbv CH4","cmip7"
145,"CH4_concentration",1894,892.0517,"ppbv CH4","cmip7"
146,"CH4_concentration",1895,895.6895,"ppbv CH4","cmip7"
147,"CH4_concentration",1896,899.27124,"ppbv CH4","cmip7"
148,"CH4_concentration",1897,901.76434,"ppbv CH4","cmip7"
149,"CH4_concentration",1898,903.6866,"ppbv CH4","cmip7"
150,"CH4_concentration",1899,905.5435,"ppbv CH4","cmip7"
151,"CH4_concentration",1900,907.6626,"ppbv CH4","cmip7"
152,"CH4_concentration",1901,909.70807,"ppbv CH4","cmip7"
153,"CH4_concentration",1902,913.1248,"ppbv CH4","cmip7"
154,"CH4_concentration",1903,917.1863,"ppbv CH4","cmip7"
155,"CH4_concentration",1904,922.413,"ppbv CH4","cmip7"
156,"CH4_concentration",1905,927.75964,"ppbv CH4","cmip7"
157,"CH4_concentration",1906,933.3427,"ppbv CH4","cmip7"
158,"CH4_concentration",1907,937.03625,"ppbv CH4","cmip7"
159,"CH4_concentration",1908,941.1984,"ppbv CH4","cmip7"
160,"CH4_concentration",1909,946.34125,"ppbv CH4","cmip7"
161,"CH4_concentration",1910,951.75946,"ppbv CH4","cmip7"
162,"CH4_concentration",1911,957.9007,"ppbv CH4","cmip7"
163,"CH4_concentration",1912,964.29584,"ppbv CH4","cmip7"
164,"CH4_concentration",1913,970.5161,"ppbv CH4","cmip7"
165,"CH4_concentration",1914,974.45264,"ppbv CH4","cmip7"
166,"CH4_concentration",1915,978.70337,"ppbv CH4","cmip7"
167,"CH4_concentration",1916,983.43506,"ppbv CH4","cmip7"
168,"CH4_concentration",1917,988.7853,"ppbv CH4","cmip7"
169,"CH4_concentration",1918,994.25574,"ppbv CH4","cmip7"
